id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_val,category
188,62275 dues & subscription,opex,fixed,"[{""company"":{""id"":290231,""name"":""SoCal Nautical""},""thresholds"":[{""value"":1.35,""flagrate"":0.27,""confidence"":0,""created_on"":""2026-06-03T15:23:28Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290231,""name"":""SoCal Nautical""},""history"":[{""06-2025"":59.99},{""07-2025"":59.99},{""08-2025"":19.99},{""09-2025"":19.99},{""10-2025"":19.99},{""02-2025"":128.71},{""05-2025"":59.99},{""11-2025"":19.99},{""12-2025"":120.79},{""01-2025"":42.13},{""03-2025"":542.38},{""04-2025"":109.99}],""avg_absdelta"":1.11,""coefficient_of_variation"":1.43}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
189,6250 dues and subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
190,62500 dues & subscriptions,opex,fixed,"[{""company"":{""id"":290244,""name"":""Carefree Newport""},""thresholds"":[{""value"":0.15,""flagrate"":0.25,""confidence"":0,""created_on"":""2026-06-03T14:48:48Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290244,""name"":""Carefree Newport""},""history"":[{""01-2026"":125.44},{""04-2025"":82.31},{""05-2025"":314.06},{""06-2025"":82.54},{""11-2025"":128.95},{""01-2025"":79.96},{""07-2025"":87.25},{""08-2025"":132.67},{""09-2025"":129},{""10-2025"":131.93},{""12-2025"":129.81},{""02-2025"":84.66},{""03-2025"":80.58}],""avg_absdelta"":0.36,""coefficient_of_variation"":2.12}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
191,62500 dues and subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
192,62500 office supplies & software,opex,fixed,"[{""company"":{""id"":290231,""name"":""SoCal Nautical""},""thresholds"":[{""value"":0.33,""flagrate"":0.55,""confidence"":0,""created_on"":""2026-06-03T15:24:15Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290231,""name"":""SoCal Nautical""},""history"":[{""01-2025"":535.94},{""02-2025"":1117.76},{""04-2025"":2123.58},{""05-2025"":2528.98},{""06-2025"":1446.81},{""09-2025"":922.04},{""12-2025"":675.61},{""03-2025"":1118.1},{""07-2025"":1483.77},{""08-2025"":1415.62},{""10-2025"":553.85},{""11-2025"":820.21}],""avg_absdelta"":0.37,""coefficient_of_variation"":0.9}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
193,6255 subscriptions,opex,fixed,"[{""company"":{""id"":290229,""name"":""Reveille, Inc.""},""thresholds"":[{""value"":0.71,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:16:25Z"",""closing_month"":""05-2025""},{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-04T13:23:19Z"",""closing_month"":""12-2024""}]}]",,0.150,"[{""company"":{""id"":290229,""name"":""Reveille, Inc.""},""history"":[{""05-2025"":1580.13},{""10-2024"":1058.58},{""11-2024"":665.41},{""01-2024"":899.41},{""03-2024"":935.95},{""05-2024"":670.93},{""07-2024"":781.42},{""12-2024"":940.55},{""02-2024"":577.95},{""04-2024"":552.95},{""06-2024"":679.95},{""08-2024"":1253.02},{""09-2024"":754.69}],""avg_absdelta"":0.39,""coefficient_of_variation"":0.48}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
194,"6275 software, apps, subscriptions",opex,fixed,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""thresholds"":[{""value"":0.31,""flagrate"":0.36,""confidence"":0,""created_on"":""2026-06-03T14:53:06Z"",""closing_month"":""12-2025""},{""value"":0.22,""flagrate"":0.36,""confidence"":0,""created_on"":""2026-06-03T14:55:26Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":318655,""name"":""Clay Entertainment""},""history"":[{""09-2025"":1143.55},{""08-2025"":957.56},{""10-2025"":1633.76},{""11-2025"":1779.48},{""12-2025"":2908.92},{""01-2025"":1756.2},{""02-2025"":982.58},{""03-2025"":1100.02},{""04-2025"":960.79},{""05-2025"":851.91},{""06-2025"":1312.64},{""07-2025"":1497.39},{""03-2026"":2822.08},{""01-2026"":3539.86},{""02-2026"":2767.58}],""avg_absdelta"":0.26,""coefficient_of_variation"":0.7}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
195,6300 dues & subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
196,6300 memberships & subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
197,6300 systems & software,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
198,6301 software & applications,opex,fixed,"[{""company"":{""id"":290224,""name"":""Pittwater""},""thresholds"":[{""value"":0.15,""flagrate"":0.43,""confidence"":0,""created_on"":""2026-06-03T15:08:54Z"",""closing_month"":""12-2025""},{""value"":0.73,""flagrate"":0.12,""confidence"":0,""created_on"":""2026-06-03T15:12:26Z"",""closing_month"":""12-2023""},{""value"":0.73,""flagrate"":0.13,""confidence"":0,""created_on"":""2026-06-03T15:16:14Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0.4,""confidence"":0,""created_on"":""2026-06-04T13:13:46Z"",""closing_month"":""02-2026""}]}]",,0.150,"[{""company"":{""id"":290224,""name"":""Pittwater""},""history"":[{""11-2025"":1664.2},{""12-2025"":1735.54},{""01-2025"":1698},{""03-2025"":1623.4},{""04-2025"":1508.13},{""05-2025"":1605.1},{""06-2025"":1675.47},{""07-2025"":1953.35},{""08-2025"":1724.67},{""10-2025"":2200.34},{""02-2025"":1736.34},{""09-2025"":2090.27},{""06-2023"":954.5},{""08-2023"":1429.57},{""11-2023"":1596.83},{""12-2023"":1543.48},{""01-2023"":662.16},{""03-2023"":1165.02},{""05-2023"":1375.98},{""07-2023"":1012.49},{""09-2023"":7269.33},{""10-2023"":-2745.37},{""02-2023"":815.38},{""04-2023"":1223.88},{""01-2026"":1645.32},{""02-2026"":1695.37}],""avg_absdelta"":0.4,""coefficient_of_variation"":2.12}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
199,6302 dues & subscriptions,opex,fixed,"[{""company"":{""id"":290224,""name"":""Pittwater""},""thresholds"":[{""value"":0.46,""flagrate"":0.67,""confidence"":0,""created_on"":""2026-06-03T15:09:13Z"",""closing_month"":""12-2025""},{""value"":1.07,""flagrate"":0.3,""confidence"":0,""created_on"":""2026-06-03T15:12:47Z"",""closing_month"":""12-2023""},{""value"":1.07,""flagrate"":0.29,""confidence"":0,""created_on"":""2026-06-03T15:16:25Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0.87,""confidence"":0,""created_on"":""2026-06-04T13:14:02Z"",""closing_month"":""02-2026""}]}]",,0.150,"[{""company"":{""id"":290224,""name"":""Pittwater""},""history"":[{""10-2025"":2525.94},{""11-2025"":104.48},{""12-2025"":106.42},{""03-2025"":184.6},{""04-2025"":3626.58},{""05-2025"":341.65},{""06-2025"":127.22},{""07-2025"":2480.42},{""01-2025"":2519.14},{""02-2025"":754.42},{""08-2025"":840.3},{""09-2025"":163.99},{""01-2023"":108.78},{""02-2023"":133.71},{""03-2023"":133.71},{""04-2023"":85.85},{""05-2023"":85.85},{""10-2023"":24.94},{""11-2023"":15.94},{""06-2023"":215.85},{""09-2023"":268.94},{""12-2023"":636.94},{""01-2026"":46.51},{""02-2026"":647.59}],""avg_absdelta"":5.04,""coefficient_of_variation"":1.86}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
200,63031 dues & subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
201,6307 software & apps,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
202,6352 apps & software,opex,fixed,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""thresholds"":[{""value"":0.66,""flagrate"":0.2,""confidence"":0,""created_on"":""2026-06-03T15:01:39Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""history"":[{""01-2026"":12728.47},{""02-2026"":11753.85},{""03-2026"":15441.78},{""10-2025"":13356.62},{""11-2025"":15445.94},{""12-2025"":27376.16}],""avg_absdelta"":0.37,""coefficient_of_variation"":0.69}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
203,6353 dues & subscriptions,opex,fixed,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""thresholds"":[{""value"":0.36,""flagrate"":0.4,""confidence"":0,""created_on"":""2026-06-03T15:01:50Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""history"":[{""10-2025"":2340.25},{""11-2025"":3932.84},{""12-2025"":2478.37},{""01-2026"":2310.74},{""02-2026"":2916.3},{""03-2026"":2997.7}],""avg_absdelta"":0.28,""coefficient_of_variation"":0.84}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
204,6401 dues & subscriptions,opex,fixed,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""thresholds"":[{""value"":0.46,""flagrate"":0.79,""confidence"":0,""created_on"":""2026-06-03T15:14:08Z"",""closing_month"":""03-2026""},{""value"":0.37,""flagrate"":0.86,""confidence"":0,""created_on"":""2026-06-04T13:18:22Z"",""closing_month"":""12-2025""}]},{""company"":{""id"":290240,""name"":""Orange County Children's Therapeutic Arts Center""},""thresholds"":[{""value"":0.22,""flagrate"":1,""confidence"":0,""created_on"":""2026-06-04T13:05:51Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""12-2025"":513.51},{""01-2026"":203.96},{""02-2026"":292.33},{""03-2026"":358},{""09-2025"":313.99},{""10-2025"":811.47},{""11-2025"":283.04},{""07-2025"":178.94},{""08-2025"":1095.29},{""01-2025"":286.57},{""02-2025"":457.02},{""03-2025"":864.4},{""04-2025"":254.03},{""05-2025"":662.65},{""06-2025"":794.88}],""avg_absdelta"":1.07,""coefficient_of_variation"":1.12},{""company"":{""id"":290240,""name"":""Orange County Children's Therapeutic Arts Center""},""history"":[{""12-2025"":16.38},{""01-2026"":395.38},{""02-2026"":105.37},{""03-2026"":551.64},{""10-2025"":352.68},{""11-2025"":85.38}],""avg_absdelta"":5.93,""coefficient_of_variation"":1.47}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
205,6404 software expenses,opex,fixed,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""thresholds"":[{""value"":0.15,""flagrate"":0.21,""confidence"":0,""created_on"":""2026-06-03T15:14:17Z"",""closing_month"":""03-2026""},{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-04T13:18:32Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""02-2026"":1583.26},{""03-2026"":1638.26},{""09-2025"":1323.27},{""10-2025"":1809.43},{""11-2025"":1616.34},{""12-2025"":1670.66},{""01-2026"":1660.62},{""03-2025"":1079.55},{""04-2025"":1101.49},{""06-2025"":1106.23},{""08-2025"":1398.15},{""01-2025"":1795.31},{""02-2025"":1170.12},{""05-2025"":1191.61},{""07-2025"":1192.32}],""avg_absdelta"":0.11,""coefficient_of_variation"":1.03}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
206,6405 software,opex,fixed,"[{""company"":{""id"":290240,""name"":""Orange County Children's Therapeutic Arts Center""},""thresholds"":[{""value"":0.15,""flagrate"":0.2,""confidence"":0,""created_on"":""2026-06-04T13:06:02Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":290240,""name"":""Orange County Children's Therapeutic Arts Center""},""history"":[{""03-2026"":1371},{""10-2025"":129},{""11-2025"":129},{""12-2025"":129},{""01-2026"":129},{""02-2026"":129}],""avg_absdelta"":1.93,""coefficient_of_variation"":2}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
207,6450 office supplies & software,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
208,65270-000 dues and subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
209,6600 office supplies & software,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
210,6715 software expense,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
211,6903 dues & subscriptions,opex,fixed,"[{""company"":{""id"":279086,""name"":""Marketing 32 Group, LLC""},""thresholds"":[{""value"":2.86,""flagrate"":0.67,""confidence"":0,""created_on"":""2026-06-03T15:05:47Z"",""closing_month"":""03-2026""},{""value"":0.24,""flagrate"":1,""confidence"":0,""created_on"":""2026-06-04T12:47:50Z"",""closing_month"":""05-2025""}]}]",,0.150,"[{""company"":{""id"":279086,""name"":""Marketing 32 Group, LLC""},""history"":[{""01-2026"":1353.29},{""02-2026"":69.72},{""03-2026"":312.78},{""05-2025"":150.94}],""avg_absdelta"":4.13,""coefficient_of_variation"":0.7}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
212,69030 dues & subscriptions,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
213,69030 dues and subscriptions,opex,fixed,"[{""company"":{""id"":279087,""name"":""Summit Strategy""},""thresholds"":[{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:27:22Z"",""closing_month"":""02-2026""},{""value"":0.52,""flagrate"":0.15,""confidence"":0,""created_on"":""2026-06-04T12:54:19Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":279087,""name"":""Summit Strategy""},""history"":[{""01-2026"":679.45},{""02-2026"":484.45},{""03-2025"":514.8},{""07-2025"":685.53},{""08-2025"":406.48},{""12-2025"":1116.53},{""01-2025"":1005.03},{""02-2025"":940.03},{""04-2025"":365.03},{""05-2025"":436.3},{""06-2025"":664.53},{""09-2025"":386.53},{""10-2025"":386.53},{""11-2025"":886.53}],""avg_absdelta"":0.33,""coefficient_of_variation"":0.99}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,dues_and_subscriptions
214,1-67000 telephone expense,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
215,1-67700 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
216,3-61750 computer and internet expenses,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
217,3-67000 telephone expense,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
218,3-67700 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
219,4-67000 telephone expense,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
220,4-67700 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
221,5511 cell phone expense - sales,cogs,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
222,6045 computer and internet expen...,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
223,6062 utilities,opex,variable,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""thresholds"":[{""value"":0.81,""flagrate"":0.18,""confidence"":0,""created_on"":""2026-06-03T14:52:01Z"",""closing_month"":""12-2023""}]}]",,0.150,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""history"":[{""09-2023"":394.2},{""10-2023"":262.83},{""11-2023"":195.84},{""02-2023"":400.99},{""03-2023"":383.76},{""04-2023"":113.34},{""05-2023"":467.5},{""06-2023"":106.91},{""12-2023"":121.15},{""01-2023"":455.31},{""07-2023"":314.65},{""08-2023"":333.77}],""avg_absdelta"":0.72,""coefficient_of_variation"":1.28}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
224,6063 telephone,opex,fixed,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""thresholds"":[{""value"":1.24,""flagrate"":0.25,""confidence"":0,""created_on"":""2026-06-03T14:52:10Z"",""closing_month"":""12-2023""}]}]",,0.150,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""history"":[{""10-2023"":61.86},{""11-2023"":76.33},{""12-2023"":81.3},{""08-2023"":165.06},{""09-2023"":611.91}],""avg_absdelta"":0.98,""coefficient_of_variation"":1.07}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
225,6064 internet expense,opex,fixed,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""thresholds"":[{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T14:52:21Z"",""closing_month"":""12-2023""}]}]",,0.150,"[{""company"":{""id"":290243,""name"":""Choice Builder Solutions - Online Sales""},""history"":[{""02-2023"":149.98},{""03-2023"":149.98},{""05-2023"":149.98},{""06-2023"":149.98},{""11-2023"":149.98},{""12-2023"":149.98},{""01-2023"":149.98},{""04-2023"":149.98},{""07-2023"":149.98},{""08-2023"":149.98},{""09-2023"":149.98},{""10-2023"":149.98}],""avg_absdelta"":0,""coefficient_of_variation"":0}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
226,6065 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
227,6100 computer and internet,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
228,6101 gas,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
229,6103 phone service,opex,fixed,"[{""company"":{""id"":290224,""name"":""Pittwater""},""thresholds"":[{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:08:45Z"",""closing_month"":""12-2025""},{""value"":0.43,""flagrate"":0.32,""confidence"":0,""created_on"":""2026-06-03T15:12:15Z"",""closing_month"":""12-2023""},{""value"":0.43,""flagrate"":0.35,""confidence"":0,""created_on"":""2026-06-03T15:16:03Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0.48,""confidence"":0,""created_on"":""2026-06-04T13:13:27Z"",""closing_month"":""02-2026""}]}]",,0.150,"[{""company"":{""id"":290224,""name"":""Pittwater""},""history"":[{""01-2025"":534.18},{""03-2025"":451.68},{""05-2025"":229.38},{""06-2025"":262.55},{""07-2025"":243.56},{""09-2025"":245.94},{""11-2025"":425.12},{""12-2025"":411.83},{""02-2025"":72.57},{""04-2025"":254.07},{""08-2025"":262.23},{""10-2025"":257.27},{""12-2023"":220.06},{""02-2023"":15},{""03-2023"":279.88},{""04-2023"":173.48},{""05-2023"":160.94},{""07-2023"":174.5},{""08-2023"":147.85},{""10-2023"":289.68},{""01-2023"":143.35},{""06-2023"":143.25},{""09-2023"":164.2},{""11-2023"":213.15},{""01-2026"":402.77},{""02-2026"":393.6}],""avg_absdelta"":1.19,""coefficient_of_variation"":2.94}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
230,6115 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
231,6117 internet & telephone,opex,fixed,"[{""company"":{""id"":290228,""name"":""FORMM""},""thresholds"":[{""value"":3.36,""flagrate"":0.14,""confidence"":0,""created_on"":""2026-06-03T15:00:37Z"",""closing_month"":""03-2026""},{""value"":0.71,""flagrate"":0.21,""confidence"":0,""created_on"":""2026-06-04T12:35:22Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":290228,""name"":""FORMM""},""history"":[{""02-2026"":236.25},{""03-2026"":1057.49},{""01-2026"":469.65},{""08-2025"":682.48},{""09-2025"":236.25},{""10-2025"":1363.98},{""11-2025"":777.91},{""12-2025"":1223.72},{""01-2025"":940.54},{""02-2025"":756.58},{""03-2025"":750.98},{""04-2025"":780.37},{""05-2025"":742.59},{""06-2025"":236.25},{""07-2025"":888.82}],""avg_absdelta"":1.07,""coefficient_of_variation"":1.33}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
232,6154 electric & gas,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
233,6155 phone & internet expenses,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
234,61600 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
235,61700 computer and internet expe...,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
236,61700 telephone expense,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
237,6200 computer and internet expenses,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
238,62000 office & utility expenses,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
239,6203 phone/internet,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
240,62030 gas/mileage,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
241,6204 internet & telephone expe...,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
242,62051 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
243,6207 vehicle gas & fuel,opex,variable,"[{""company"":{""id"":290224,""name"":""Pittwater""},""thresholds"":[{""value"":0.81,""flagrate"":0.39,""confidence"":0,""created_on"":""2026-06-03T15:08:45Z"",""closing_month"":""12-2025""},{""value"":1.17,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:12:26Z"",""closing_month"":""12-2023""},{""value"":1.17,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:16:14Z"",""closing_month"":""12-2023""},{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-04T13:13:46Z"",""closing_month"":""02-2026""}]}]",,0.150,"[{""company"":{""id"":290224,""name"":""Pittwater""},""history"":[{""08-2025"":339.12},{""10-2025"":468.4},{""11-2025"":135.67},{""01-2025"":141.18},{""02-2025"":276.97},{""03-2025"":206.89},{""04-2025"":145.63},{""09-2025"":159.07},{""12-2025"":280.95},{""05-2025"":204.79},{""06-2025"":352.62},{""07-2025"":269.3},{""01-2023"":172.92},{""03-2023"":120.51},{""06-2023"":42.61},{""07-2023"":125.35},{""09-2023"":415.8},{""10-2023"":184.74},{""02-2023"":111.14},{""04-2023"":140.74},{""05-2023"":301.93},{""08-2023"":181.19},{""11-2023"":155.22},{""12-2023"":-151.81},{""01-2026"":180.98},{""02-2026"":295.24}],""avg_absdelta"":0.77,""coefficient_of_variation"":0.78}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
244,6225 utilities,opex,variable,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
245,6230 cell phone,opex,fixed,"[{""company"":{""id"":290229,""name"":""Reveille, Inc.""},""thresholds"":[{""value"":1.21,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:15:54Z"",""closing_month"":""05-2025""},{""value"":0.17,""flagrate"":0.82,""confidence"":0,""created_on"":""2026-06-04T13:22:41Z"",""closing_month"":""12-2024""}]}]",,0.150,"[{""company"":{""id"":290229,""name"":""Reveille, Inc.""},""history"":[{""05-2024"":491.6},{""07-2024"":614.01},{""09-2024"":821.9},{""10-2024"":618.13},{""11-2024"":510.66},{""12-2024"":618.25},{""01-2024"":773.13},{""04-2024"":675.46},{""06-2024"":786.94},{""08-2024"":413.96},{""02-2024"":565.45},{""03-2024"":577.61}],""avg_absdelta"":0.32,""coefficient_of_variation"":0.79}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
246,6231 internet,opex,fixed,"[{""company"":{""id"":290229,""name"":""Reveille, Inc.""},""thresholds"":[{""value"":0.15,""flagrate"":0.67,""confidence"":0,""created_on"":""2026-06-03T15:16:04Z"",""closing_month"":""05-2025""},{""value"":1.33,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-04T13:22:59Z"",""closing_month"":""12-2024""}]}]",,0.150,"[{""company"":{""id"":290229,""name"":""Reveille, Inc.""},""history"":[{""05-2025"":183.74},{""03-2024"":426.3},{""04-2024"":176.61},{""06-2024"":353.22},{""09-2024"":176.86},{""10-2024"":176.86},{""12-2024"":353.72},{""07-2024"":171.61},{""08-2024"":176.86},{""01-2024"":343.2}],""avg_absdelta"":0.43,""coefficient_of_variation"":0.87}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,utilities
