id,code,type,volatility,threshold,absolute_threshold,policy_min_threshold,history_and_avg_absdelta,impact_score,missed_flag_sample,false_flag_sample,created_at,updated_at,special_term,mad,k_val,category
30,5110 direct labor - wages,cogs,fixed,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""thresholds"":[{""value"":0.15,""flagrate"":0.29,""confidence"":0,""created_on"":""2026-06-03T15:11:54Z"",""closing_month"":""03-2026""},{""value"":0.28,""flagrate"":0.21,""confidence"":0,""created_on"":""2026-06-04T13:15:44Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""10-2025"":26326.89},{""11-2025"":27768.36},{""12-2025"":24904.31},{""01-2026"":27200.1},{""02-2026"":26796.33},{""03-2026"":28479.96},{""09-2025"":38161.57},{""01-2025"":23040.35},{""02-2025"":26441.7},{""04-2025"":33786.85},{""05-2025"":29016.67},{""08-2025"":21931.98},{""03-2025"":37322.04},{""06-2025"":28409.24},{""07-2025"":26878.48}],""avg_absdelta"":0.17,""coefficient_of_variation"":1.09}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
31,51110-000 salaries and wages,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
32,5130 direct labor - ot,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
33,5140 direct labor - pto,cogs,fixed,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""thresholds"":[{""value"":0.15,""flagrate"":0.92,""confidence"":0,""created_on"":""2026-06-03T15:12:26Z"",""closing_month"":""03-2026""},{""value"":0.69,""flagrate"":0.25,""confidence"":0,""created_on"":""2026-06-04T13:16:26Z"",""closing_month"":""12-2025""}]}]",,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""10-2025"":2198.99},{""11-2025"":2616.16},{""12-2025"":3380.12},{""01-2026"":3329.39},{""02-2026"":1347.38},{""03-2026"":2271.02},{""09-2025"":3368.78},{""03-2025"":1610.58},{""04-2025"":2639.46},{""05-2025"":2230.36},{""07-2025"":3076.35},{""06-2025"":4893.67},{""08-2025"":-699.6}],""avg_absdelta"":0.96,""coefficient_of_variation"":1.57}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
34,5185 direct labor - other benefits,cogs,fixed,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""thresholds"":[{""value"":1.71,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:12:46Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":389099,""name"":""REAL HR HERO - THOMPSON HR CONSULTING""},""history"":[{""02-2026"":-26.26},{""03-2026"":4.74},{""01-2026"":59.74}],""avg_absdelta"":1.31,""coefficient_of_variation"":0.1}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
35,52101-000 salaries and wages,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
36,5221 the tread agency - dl wages,cogs,fixed,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""thresholds"":[{""value"":1.7,""flagrate"":0.33,""confidence"":0,""created_on"":""2026-06-03T14:59:54Z"",""closing_month"":""03-2026""}]}]",,0.150,"[{""company"":{""id"":511616,""name"":""Kahn Media, Inc.""},""history"":[{""12-2025"":2309},{""01-2026"":2170.77},{""02-2026"":795.57},{""03-2026"":2235.31}],""avg_absdelta"":0.83,""coefficient_of_variation"":0.87}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
37,53101-000 salaries and wages,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
38,5503 sales - salary,cogs,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
39,60001 salaries & wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
40,60002 salaries & wages,opex,fixed,,,0.150,,,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
41,6001 wages,opex,fixed,"[{""company"":{""id"":279086,""name"":""Marketing 32 Group, LLC""},""thresholds"":[{""value"":0.15,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-03T15:04:32Z"",""closing_month"":""03-2026""},{""value"":0.21,""flagrate"":0,""confidence"":0,""created_on"":""2026-06-04T12:47:06Z"",""closing_month"":""05-2025""}]}]",,0.150,"[{""company"":{""id"":279086,""name"":""Marketing 32 Group, LLC""},""history"":[{""01-2026"":35644.51},{""02-2026"":37802.35},{""03-2026"":36808.52},{""05-2025"":32383.09}],""avg_absdelta"":0.06,""coefficient_of_variation"":0.49}]",,,,2026-05-09 20:17:08.369087+00,2026-06-02 19:49:15.364134+00,false,,2,wages
